Item Code,Material,Quantity,Estimated Rate,Supplier 1 (Rate),Supplier 2 (Rate),Supplier 3 (Rate),Supplier 4 (Rate),Supplier 5 (Rate)
AER-001,Aerospace Parts,655,617.50,723.94,815.01,837.28,853.14,748.26
PRE-002,Precision Components,930,508.20,465.39,520.12,633.77,654.83,547.65
SHT-003,Sheet Metal,178,868.90,756.23,937.40,817.90,816.48,790.19
MCH-004,Machined Parts,675,465.05,446.17,519.79,479.90,516.34,569.71
ELC-005,Electronic Components,425,892.40,765.23,934.56,821.45,899.12,776.88
HYD-006,Hydraulic Parts,320,745.60,698.45,812.34,765.23,789.56,734.21
PLT-007,Plate Material,890,234.50,189.34,267.89,245.67,256.78,223.45
FAB-008,Fabricated Items,540,567.80,534.56,598.45,612.34,587.23,545.67
CAS-009,Castings,275,923.10,845.67,967.89,934.56,912.45,889.23
FOR-010,Forgings,450,678.90,623.45,712.34,689.12,698.76,654.32
RAW-011,Raw Materials,1200,156.30,134.56,178.90,165.43,172.34,149.87
ASS-012,Assembly Parts,680,445.70,412.34,478.90,456.78,467.89,423.56
TUB-013,Tubing,950,289.40,256.78,312.45,298.67,287.90,273.21
BRK-014,Brackets,1100,123.50,98.76,145.67,132.45,128.90,115.34
CON-015,Connectors,775,534.20,489.45,567.89,545.67,556.78,512.34
